,PID,CM_ID,GIS_ID,ST_NUM,ST_NAME,ST_NAME_SUF,UNIT_NUM,ZIPCODE,PTYPE,LU,AV_LAND,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF,YR_BUILT,YR_REMOD,GROSS_AREA,LIVING_AREA,NUM_FLOORS,STRUCTURE_CLASS,R_BLDG_STYL,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RMS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_BTH_STYLE,R_BTH_STYLE2,R_BTH_STYLE3,R_KITCH,R_KITCH_STYLE,R_KITCH_STYLE2,R_KITCH_STYLE3,R_HEAT_TYP,R_AC,R_FPLACE,R_EXT_CND,R_OVRALL_CND,R_INT_CND,R_INT_FIN,R_VIEW,S_NUM_BLDG,S_BLDG_STYL,S_UNIT_RES,S_UNIT_COM,S_UNIT_RC,S_EXT_FIN,S_EXT_CND,U_BASE_FLOOR,U_NUM_PARK,U_CORNER,U_ORIENT,U_TOT_RMS,U_BDRMS,U_FULL_BTH,U_HALF_BTH,U_BTH_STYLE,U_BTH_STYLE2,U_BTH_STYLE3,U_KITCH_TYPE,U_KITCH_STYLE,U_HEAT_TYP,U_AC,U_FPLACE,U_INT_FIN,U_INT_CND,U_VIEW,lat,lng
73768,801887000,801887000,801887000,1914 1920,WASHINGTON,ST,,2118,995,CM,0,0,0,0,4950.0,1914,2012,0.0,0.0,3.0,C,,,,,,,,,,,,,,,,,,,,,,,,LR,4.0,2.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.3342959,-71.0793276
73776,801889000,801889000,801889000,8 14,NEWCOMB,ST,,2118,995,CM,0,0,0,0,11417.0,1900,2002,0.0,0.0,5.0,C,,,,,,,,,,,,,,,,,,,,,,,,MR,9.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.334153,-71.0789719
73794,801975000,801975000,801975000,41,THORNDIKE,ST,,2119,995,CM,0,0,0,0,1100.0,1890,2005,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,RE,3.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.3331318,-71.0788169
73798,801976000,801976000,801976000,43,THORNDIKE,ST,,2119,995,CM,0,0,0,0,1100.0,1884,2001,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,RM,1.0,1.0,3.0,B,A,,,,,,,,,,,,,,,,,,,,42.3330958,-71.078783
73929,802252000,802252000,802252000,235,EUSTIS,ST,,2119,995,CM,0,0,0,0,5338.0,1910,2017,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3271257,-71.0756135
73933,802253000,802253000,802253000,237,EUSTIS,ST,,2119,995,CM,0,0,0,0,2430.0,1885,2003,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3269692,-71.0755671
74062,802552000,802552000,802552000,6,GREENVILLE,ST,,2119,995,CM,0,0,0,0,4930.0,1910,2004,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,FS,6.0,2.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.3280995,-71.0805578
74117,802591000,802591000,802591000,62,WINTHROP,ST,,2119,995,CM,0,0,0,0,6408.0,1885,2006,0.0,0.0,2.5,R,,,,,,,,,,,,,,,,,,,,,,,,RE,2.0,0.0,0.0,M,G,,,,,,,,,,,,,,,,,,,,42.3252662,-71.0788633
74149,802631000,802631000,802631000,2,MT PLEASANT,PL,,2119,995,CM,0,0,0,0,1273.0,1890,2002,0.0,0.0,4.0,R,SD,M,M,10.0,5.0,2.0,0.0,S,S,,2.0,S,S,,W,N,0.0,A,A,A,N,A,,SD,2.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.327759,-71.07812799999999
74275,802748000,802748000,802748000,130,MT PLEASANT,AV,,2119,995,CM,0,0,0,0,3733.0,1880,2002,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,FS,2.0,0.0,0.0,W,G,,,,,,,,,,,,,,,,,,,,42.32518049999999,-71.0764028
74597,803074000,803074000,803074000,47,W COTTAGE,ST,,2125,995,CM,0,0,0,0,2390.0,1885,2005,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,FS,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3208064,-71.0747787
74714,900014000,900014000,900014000,38,UPTON,ST,,2118,995,CM,0,0,0,0,1531.0,1899,2012,0.0,0.0,5.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,4.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3425494,-71.0726423
74737,900020006,900020000,900020000,26,UPTON,ST,3,2118,102,CD,0,1745800,1745800,1840073,1850.0,1899,2006,1850.0,1850.0,2.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,N,T,7.0,3.0,2.0,1.0,L,M,M,O,M,F,C,1.0,N,G,A,42.3422791,-71.07225199999999
74748,900023000,900023000,900023000,20,UPTON,ST,,2118,995,CM,0,0,0,0,1731.0,1899,2015,0.0,0.0,5.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3421022,-71.0721432
74759,900025000,900025000,900025000,16,UPTON,ST,,2118,995,CM,0,0,0,0,1726.0,1899,2015,0.0,0.0,5.0,C,,,,,,,,,,,,,,,,,,,,,,,,MR,4.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3420081,-71.0720271
74790,900033000,900033000,900033000,602 HF602,TREMONT,ST,,2118,995,CM,0,0,0,0,2410.0,1899,2007,0.0,0.0,5.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,4.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3401491,-71.0787537
74795,900034000,900034000,900034000,600,TREMONT,ST,,2118,995,CM,0,0,0,0,2356.0,1900,2003,0.0,0.0,5.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3427717,-71.0732922
74800,900035002,900035000,900035000,598,TREMONT,ST,1,2118,102,CD,0,1813200,1813200,1911113,1935.0,2000,2000,1935.0,1935.0,2.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,N,T,5.0,2.0,2.0,1.0,M,M,M,F,L,F,C,1.0,N,G,A,42.3429052,-71.0732828
74801,900035004,900035000,900035000,598,TREMONT,ST,2,2118,102,CD,0,1586500,1586500,1672171,1704.0,2000,2006,1704.0,1704.0,2.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,N,T,5.0,2.0,2.0,1.0,M,M,M,F,L,W,C,2.0,N,G,A,42.3429052,-71.0732828
74802,900035006,900035000,900035000,598,TREMONT,ST,3,2118,102,CD,0,2113700,2113700,2227840,2040.0,2000,2000,2040.0,2040.0,3.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,N,T,8.0,3.0,2.0,1.0,M,M,M,F,L,W,C,1.0,N,G,A,42.3429052,-71.0732828
74803,900036000,900036000,900036000,596,TREMONT,ST,,2118,995,CM,0,0,0,0,2248.0,1899,1980,0.0,0.0,5.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,4.0,0.0,1.0,B,A,,,,,,,,,,,,,,,,,,,,42.3428593,-71.07315299999999
74851,900210000,900210000,900210000,77,W BROOKLINE,ST,,2118,995,CM,0,0,0,0,893.0,1899,2011,2907.0,2261.0,3.5,C,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.34069040000001,-71.0735469
74898,900313000,900313000,900313000,662,TREMONT,ST,,2118,995,CM,0,0,0,0,2995.0,1899,2015,0.0,0.0,5.0,C,,,,,,,,,,,,,,,,,,,,,,,,RE,6.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.34153430000001,-71.0756135
74925,900319000,900319000,900319000,407,SHAWMUT,AV,,2118,995,CM,0,0,0,0,5058.0,1899,2014,0.0,0.0,5.0,C,,,,,,,,,,,,,,,,,,,,,,,,RE,6.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.340488,-71.073736
74989,900341000,900341000,900341000,668,TREMONT,ST,,2118,995,CM,0,0,0,0,2683.0,1900,2001,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,5.0,1.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.3413457,-71.07603139999999
75140,900406002,900406000,900406000,464,SHAWMUT,AV,1,2118,102,CD,0,775300,775300,817166,1107.0,1875,2010,1107.0,1107.0,2.0,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,N,T,5.0,3.0,2.0,0.0,M,M,,F,M,W,C,0.0,N,G,F,42.3387578,-71.0755629
75141,900406004,900406000,900406000,464,SHAWMUT,AV,2,2118,102,CD,0,508800,508800,536275,535.0,1875,2000,535.0,535.0,1.0,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,N,T,3.0,1.0,1.0,0.0,S,,,O,S,W,C,1.0,N,G,A,42.3387578,-71.0755629
75142,900406006,900406000,900406000,464,SHAWMUT,AV,3,2118,102,CD,0,1053000,1053000,1109862,1243.0,1875,2000,1243.0,1243.0,2.0,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,N,T,4.0,2.0,1.0,1.0,S,S,,F,S,W,C,0.0,N,G,A,42.3387578,-71.0755629
75144,900407002,900407000,900407000,462,SHAWMUT,AV,1,2118,102,CD,0,1407000,1407000,1482978,1632.0,1875,2010,1632.0,1632.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,N,T,4.0,1.0,1.0,1.0,M,M,,F,M,W,C,1.0,N,G,A,42.338798,-71.0755042
75145,900407004,900407000,900407000,462,SHAWMUT,AV,2,2118,102,CD,0,1323300,1323300,1394758,1496.0,1875,2014,1496.0,1496.0,2.0,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,N,T,4.0,2.0,2.0,0.0,L,M,,F,M,F,C,1.0,N,G,A,42.338798,-71.0755042
75148,900413000,900413000,900413000,456,SHAWMUT,AV,,2118,995,CM,0,0,0,0,1134.0,1875,2001,0.0,0.0,3.5,R,,,,,,,,,,,,,,,,,,,,,,,,RM,2.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3389578,-71.0752783
75157,900426030,900426030,900426030,467 -471,SHAWMUT,AV,,2118,995,CM,0,0,0,0,2003.0,1912,2005,0.0,0.0,5.0,C,,,,,,,,,,,,,,,,,,,,,,,,RE,10.0,2.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.3389951,-71.0758536
75174,900430000,900430000,900430000,437,SHAWMUT,AV,,2118,995,CM,0,0,0,0,2000.0,1920,2000,0.0,0.0,4.0,R,,,,,,,,,,,,,,,,,,,,,,,,RE,3.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.339751,-71.074853
75193,900436000,900436000,900436000,449,SHAWMUT,AV,,2118,995,CM,0,0,0,0,2241.0,1899,2000,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,LR,3.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.3395009,-71.0752091
75203,900438000,900438000,900438000,453,SHAWMUT,AV,,2118,995,CM,0,0,0,0,2308.0,1899,2003,0.0,0.0,5.0,C,,,,,,,,,,,,,,,,,,,,,,,,RE,5.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.339421,-71.075345
75210,900443000,900443000,900443000,27,RUTLAND,ST,,2118,995,CM,0,0,0,0,1532.0,1905,2006,0.0,0.0,2.5,R,,,,,,,,,,,,,,,,,,,,,,,,RE,2.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.339603,-71.07551769999999
75235,900455000,900455000,900455000,59,RUTLAND,ST,,2118,995,CM,0,0,0,0,1890.0,1899,2004,0.0,0.0,3.5,R,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3402707,-71.0762055
75239,900456000,900456000,900456000,61,RUTLAND,ST,,2118,995,CM,0,0,0,0,1890.0,1900,2013,4398.0,3164.0,4.0,R,,,,,,,,,,,,,,,,,,,,,,,,RM,2.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3403608,-71.07629829999999
75243,900458000,900458000,900458000,65,RUTLAND,ST,,2118,995,CM,0,0,0,0,1890.0,1899,2002,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3404376,-71.0763442
75247,900459000,900459000,900459000,67,RUTLAND,ST,,2118,995,CM,0,0,0,0,1890.0,1899,2000,0.0,0.0,3.5,C,,,,,,,,,,,,,,,,,,,,,,,,RM,4.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.340474,-71.0764347
75252,900460000,900460000,900460000,69,RUTLAND,ST,,2118,995,CM,0,0,0,0,1890.0,1900,2003,0.0,0.0,4.0,R,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3404854,-71.076484
75267,900463000,900463000,900463000,75,RUTLAND,ST,,2118,995,CM,0,0,0,0,1800.0,1899,2005,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,4.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.340627,-71.07661999999999
75268,900463002,900463000,900463000,75,RUTLAND,ST,1,2118,102,CD,0,1360400,1360400,1433862,1620.0,1899,2005,1620.0,1620.0,2.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,N,T,5.0,2.0,2.0,1.0,M,M,M,F,M,F,C,1.0,N,G,A,42.340627,-71.07661999999999
75269,900463004,900463000,900463000,75,RUTLAND,ST,2,2118,102,CD,0,585100,585100,616696,758.0,1899,2005,758.0,758.0,1.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,N,T,3.0,1.0,1.0,0.0,M,,,O,M,F,N,1.0,N,G,A,42.340627,-71.07661999999999
75270,900463006,900463000,900463000,75,RUTLAND,ST,3,2118,102,CD,0,607000,607000,639778,757.0,1899,2005,757.0,757.0,1.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,N,T,4.0,2.0,1.0,0.0,M,,,O,M,F,N,1.0,N,G,A,42.340627,-71.07661999999999
75271,900463008,900463000,900463000,75,RUTLAND,ST,4,2118,102,CD,0,636500,636500,670871,897.0,1899,2005,897.0,897.0,1.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,N,T,3.0,1.0,1.0,0.0,M,,,O,M,F,N,0.0,N,G,A,42.340627,-71.07661999999999
75272,900464000,900464000,900464000,77,RUTLAND,ST,,2118,995,CM,0,0,0,0,1777.0,1900,2009,0.0,0.0,4.0,R,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.340651,-71.0766929
75277,900466000,900466000,900466000,692,TREMONT,ST,,2118,995,CM,0,0,0,0,2262.0,1899,2006,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,RE,6.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.340782,-71.076979
75284,900467000,900467000,900467000,690,TREMONT,ST,,2118,995,CM,0,0,0,0,1952.0,1899,2006,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,6.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3408519,-71.0769388
75297,900469000,900469000,900469000,686,TREMONT,ST,,2118,995,CM,0,0,0,0,1926.0,1899,2006,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,6.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.34092870000001,-71.07681509999999
75304,900470000,900470000,900470000,684,TREMONT,ST,,2118,995,CM,0,0,0,0,1876.0,1899,2006,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,6.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3409708,-71.0767517
75311,900471000,900471000,900471000,682 A682,TREMONT,ST,,2118,995,CM,0,0,0,0,1827.0,1900,2008,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,4.0,1.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.341005,-71.0766835
75317,900472000,900472000,900472000,680,TREMONT,ST,,2118,995,CM,0,0,0,0,1698.0,1899,1999,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,4.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3410218,-71.0765909
75323,900474000,900474000,900474000,676,TREMONT,ST,,2118,995,CM,0,0,0,0,1923.0,1899,2007,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,RE,5.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3410942,-71.076461
75345,900510000,900510000,900510000,133,W CONCORD,ST,,2118,995,CM,0,0,0,0,1810.0,1850,2015,0.0,0.0,5.0,R,RM,G,B,12.0,5.0,5.0,2.0,M,M,M,2.0,M,M,,F,C,2.0,G,G,E,N,A,,RM,2.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3397054,-71.076809
75353,900514000,900514000,900514000,141,W CONCORD,ST,,2118,995,CM,0,0,0,0,1900.0,1875,2002,0.0,0.0,4.0,R,,,,,,,,,,,,,,,,,,,,,,,,LR,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3397454,-71.0771712
75373,900531000,900531000,900531000,80,RUTLAND,ST,,2118,995,CM,0,0,0,0,1991.0,1910,2010,0.0,0.0,4.0,R,,,,,,,,,,,,,,,,,,,,,,,,SD,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.340473,-71.0770643
75400,900542000,900542000,900542000,58,RUTLAND,ST,,2118,995,CM,0,0,0,0,1810.0,1910,2016,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,2.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3400269,-71.0764734
75406,900544010,900544010,900544010,32,RUTLAND,ST,,2118,995,CM,0,0,0,0,6475.0,1899,2017,0.0,0.0,5.0,C,,,,,,,,,,,,,,,,,,,,,,,,MR,6.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.339472,-71.07582239999999
75413,900545000,900545000,900545000,41,WORCESTER,ST,,2118,995,CM,0,0,0,0,1911.0,1899,2001,0.0,0.0,3.5,C,,,,,,,,,,,,,,,,,,,,,,,,RE,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3387439,-71.0768322
75417,900546000,900546000,900546000,43,WORCESTER,ST,,2118,995,CM,0,0,0,0,1881.0,1890,1995,0.0,0.0,3.5,R,,,,,,,,,,,,,,,,,,,,,,,,RM,2.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3387699,-71.076891
75434,900552000,900552000,900552000,55,WORCESTER,ST,,2118,995,CM,0,0,0,0,1881.0,1900,1999,0.0,0.0,3.5,R,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.3390207,-71.0771955
75440,900555000,900555000,900555000,61,WORCESTER,ST,,2118,995,CM,0,0,0,0,2002.0,1899,2002,0.0,0.0,3.5,C,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.3391506,-71.07736609999999
75444,900556000,900556000,900556000,63,WORCESTER,ST,,2118,995,CM,0,0,0,0,2002.0,1890,2005,0.0,0.0,3.5,R,,,,,,,,,,,,,,,,,,,,,,,,RM,2.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3391811,-71.0774357
75477,900563000,900563000,900563000,77,WORCESTER,ST,,2118,995,CM,0,0,0,0,2002.0,1900,1999,0.0,0.0,5.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,4.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3395044,-71.0778071
75484,900566000,900566000,900566000,83,WORCESTER,ST,,2118,995,CM,0,0,0,0,2002.0,1899,2007,0.0,0.0,5.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3396886,-71.0780161
75492,900571000,900571000,900571000,728 -740,TREMONT,ST,,2118,995,CM,0,0,0,0,20272.0,1899,2015,0.0,0.0,2.0,C,,,,,,,,,,,,,,,,,,,,,,,,FS,6.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.33998649999999,-71.0782895
75499,900572000,900572000,900572000,162,W CONCORD,ST,,2118,995,CM,0,0,0,0,1899.0,1899,2003,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,RE,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3400654,-71.0778303
75505,900575000,900575000,900575000,156,W CONCORD,ST,,2118,995,CM,0,0,0,0,1866.0,1899,2016,3900.0,3120.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,2.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.339917,-71.07772790000001
75520,900579000,900579000,900579000,148,W CONCORD,ST,,2118,995,CM,0,0,0,0,2020.0,1899,2015,0.0,0.0,4.0,R,,,,,,,,,,,,,,,,,,,,,,,,RM,2.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3398057,-71.07750539999999
75524,900581000,900581000,900581000,144,W CONCORD,ST,,2118,995,CM,0,0,0,0,2020.0,1875,1999,0.0,0.0,4.0,R,,,,,,,,,,,,,,,,,,,,,,,,RM,1.0,3.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3397679,-71.0773784
75525,900581002,900581000,900581000,144,W CONCORD,ST,1,2118,102,CD,0,1256300,1256300,1324140,1550.0,1875,2012,1550.0,1550.0,2.0,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,N,T,6.0,3.0,2.0,1.0,M,M,M,F,M,F,C,1.0,N,G,A,42.3397679,-71.0773784
75526,900581004,900581000,900581000,144,W CONCORD,ST,2,2118,102,CD,0,707400,707400,745600,700.0,1875,2000,700.0,700.0,1.0,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,N,T,4.0,2.0,1.0,0.0,M,,,F,M,F,C,1.0,N,G,A,42.3397679,-71.0773784
75527,900581006,900581000,900581000,144,W CONCORD,ST,3,2118,102,CD,0,1466700,1466700,1545902,1600.0,1875,2010,1600.0,1600.0,2.0,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,N,T,6.0,3.0,3.0,0.0,M,M,M,F,M,F,C,0.0,N,G,A,42.3397679,-71.0773784
75546,900593000,900593000,900593000,120,W CONCORD,ST,,2118,995,CM,0,0,0,0,1919.0,1875,2006,0.0,0.0,4.0,R,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3392491,-71.0768554
75556,900596000,900596000,900596000,114,W CONCORD,ST,,2118,995,CM,0,0,0,0,2020.0,1900,2001,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3391666,-71.0766737
75560,900597000,900597000,900597000,112,W CONCORD,ST,,2118,995,CM,0,0,0,0,2020.0,1899,2015,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.339042,-71.076691
75599,900612010,900612010,900612010,37,WORCESTER,ST,,2118,995,CM,0,0,0,0,1995.0,1899,2005,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,5.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3385919,-71.0767142
75609,900614000,900614000,900614000,17,WORCESTER,ST,,2118,995,CM,0,0,0,0,3640.0,1899,2015,0.0,0.0,3.0,C,,,,,,,,,,,,,,,,,,,,,,,,RE,9.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3380241,-71.07599739999999
75610,900614002,900614000,900614000,17,WORCESTER,ST,1,2118,102,CD,0,663800,663800,699645,800.0,1899,2015,800.0,800.0,1.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,N,F,3.0,1.0,1.0,0.0,M,,,O,M,W,C,1.0,N,G,A,42.3380241,-71.07599739999999
75611,900614004,900614000,900614000,17,WORCESTER,ST,2,2118,102,CD,0,821700,821700,866072,1060.0,1899,2015,1060.0,1060.0,2.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,N,F,4.0,2.0,2.0,0.0,M,M,,O,M,W,C,1.0,N,G,A,42.3380241,-71.07599739999999
75612,900614006,900614000,900614000,17,WORCESTER,ST,3,2118,102,CD,0,867200,867200,914029,1007.0,1899,2000,1007.0,1007.0,1.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,N,F,4.0,2.0,2.0,0.0,M,M,,O,M,W,C,1.0,N,G,A,42.3380241,-71.07599739999999
75613,900614008,900614000,900614000,17,WORCESTER,ST,4,2118,102,CD,0,939200,939200,989917,1117.0,1899,2015,1117.0,1117.0,1.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,N,A,4.0,2.0,2.0,0.0,M,M,,O,M,W,C,1.0,N,G,A,42.3380241,-71.07599739999999
75614,900614010,900614000,900614000,17,WORCESTER,ST,5,2118,102,CD,0,843000,843000,888522,1050.0,1899,2000,1050.0,1050.0,1.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,N,A,4.0,2.0,2.0,0.0,M,M,,O,M,W,C,1.0,N,G,A,42.3380241,-71.07599739999999
75615,900614012,900614000,900614000,17,WORCESTER,ST,6,2118,102,CD,0,521000,521000,549134,545.0,1899,2000,545.0,545.0,1.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,N,F,3.0,1.0,1.0,0.0,M,,,O,M,W,C,1.0,N,G,A,42.3380241,-71.07599739999999
75616,900614014,900614000,900614000,17,WORCESTER,ST,7,2118,102,CD,0,867800,867800,914661,1049.0,1899,2015,1049.0,1049.0,1.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,N,F,5.0,3.0,2.0,0.0,M,M,,O,M,W,C,1.0,N,G,A,42.3380241,-71.07599739999999
75617,900614016,900614000,900614000,17,WORCESTER,ST,8,2118,102,CD,0,1636100,1636100,1724449,1540.0,1899,2000,1540.0,1540.0,1.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,N,F,5.0,2.0,2.0,0.0,M,M,,F,M,F,C,2.0,N,G,A,42.3380241,-71.07599739999999
75618,900614018,900614000,900614000,17,WORCESTER,ST,9,2118,102,CD,0,1300400,1300400,1370622,1232.0,1899,2016,1232.0,1232.0,1.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,N,A,4.0,2.0,2.0,0.0,M,M,,O,M,W,C,1.0,N,G,A,42.3380241,-71.07599739999999
